GeneName	GeneID	Description
HEPACAM2	ENSG00000188175	HEPACAM family member 2(HEPACAM2)
HES7	ENSG00000179111	hes family bHLH transcription factor 7(HES7)
HHATL	ENSG00000010282	hedgehog acyltransferase like(HHATL)
HIKESHI	ENSG00000149196	heat shock protein nuclear import factor hikeshi(HIKESHI)
HIVEP1	ENSG00000095951	HIVEP zinc finger 1(HIVEP1)
HK3	ENSG00000160883	hexokinase 3(HK3)
HKDC1	ENSG00000156510	hexokinase domain containing 1(HKDC1)
HLA-DQA1	ENSG00000196735	major histocompatibility complex, class II, DQ alpha 1(HLA-DQA1)
HLCS	ENSG00000159267	holocarboxylase synthetase(HLCS)
HLX	ENSG00000136630	H2.0 like homeobox(HLX)
HMGB2	ENSG00000164104	high mobility group box 2(HMGB2)
HMGCLL1	ENSG00000146151	3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1(HMGCLL1)
HNF1B	ENSG00000275410	HNF1 homeobox B(HNF1B)
HNF4A	ENSG00000101076	hepatocyte nuclear factor 4 alpha(HNF4A)
HNF4G	ENSG00000164749	hepatocyte nuclear factor 4 gamma(HNF4G)
HNRNPA1	ENSG00000135486	heterogeneous nuclear ribonucleoprotein A1(HNRNPA1)
HNRNPA1L2	ENSG00000139675	heterogeneous nuclear ribonucleoprotein A1 like 2(HNRNPA1L2)
HNRNPA1L2	ENSG00000273784	heterogeneous nuclear ribonucleoprotein A1 like 2(HNRNPA1L2)
HNRNPA1P57	ENSG00000237442	heterogeneous nuclear ribonucleoprotein A1 pseudogene 57(HNRNPA1P57)
HNRNPA3	ENSG00000170144	heterogeneous nuclear ribonucleoprotein A3(HNRNPA3)
HNRNPD	ENSG00000138668	heterogeneous nuclear ribonucleoprotein D(HNRNPD)
HNRNPL	ENSG00000104824	heterogeneous nuclear ribonucleoprotein L(HNRNPL)
HNRNPR	ENSG00000125944	heterogeneous nuclear ribonucleoprotein R(HNRNPR)
HNRNPU	ENSG00000153187	heterogeneous nuclear ribonucleoprotein U(HNRNPU)
HOMER1	ENSG00000152413	homer scaffold protein 1(HOMER1)
HOOK1	ENSG00000134709	hook microtubule tethering protein 1(HOOK1)
HP	ENSG00000257017	haptoglobin(HP)
HP1BP3	ENSG00000127483	heterochromatin protein 1 binding protein 3(HP1BP3)
HPCAL4	ENSG00000116983	hippocalcin like 4(HPCAL4)
HPRT1	ENSG00000165704	hypoxanthine phosphoribosyltransferase 1(HPRT1)
HPS4	ENSG00000100099	HPS4 biogenesis of lysosomal organelles complex 3 subunit 2(HPS4)
HPSE	ENSG00000173083	heparanase(HPSE)
HS3ST2	ENSG00000122254	heparan sulfate-glucosamine 3-sulfotransferase 2(HS3ST2)
HSD11B2	ENSG00000176387	hydroxysteroid 11-beta dehydrogenase 2(HSD11B2)
HSD17B10	ENSG00000072506	hydroxysteroid 17-beta dehydrogenase 10(HSD17B10)
HSD17B12	ENSG00000149084	hydroxysteroid 17-beta dehydrogenase 12(HSD17B12)
HSDL2	ENSG00000119471	hydroxysteroid dehydrogenase like 2(HSDL2)
HSF2	ENSG00000025156	heat shock transcription factor 2(HSF2)
HSPA1A	ENSG00000204389	heat shock protein family A (Hsp70) member 1A(HSPA1A)
HSPA1B	ENSG00000204388	heat shock protein family A (Hsp70) member 1B(HSPA1B)
HSPA6	ENSG00000173110	heat shock protein family A (Hsp70) member 6(HSPA6)
HSPA9	ENSG00000113013	heat shock protein family A (Hsp70) member 9(HSPA9)
HSPA14	ENSG00000187522	heat shock protein family A (Hsp70) member 14(HSPA14)
HTATSF1	ENSG00000102241	HIV-1 Tat specific factor 1(HTATSF1)
HTR1A	ENSG00000178394	5-hydroxytryptamine receptor 1A(HTR1A)
HTR1B	ENSG00000135312	5-hydroxytryptamine receptor 1B(HTR1B)
HTR1D	ENSG00000179546	5-hydroxytryptamine receptor 1D(HTR1D)
HTR2A	ENSG00000102468	5-hydroxytryptamine receptor 2A(HTR2A)
HTR2C	ENSG00000147246	5-hydroxytryptamine receptor 2C(HTR2C)
HTR6	ENSG00000158748	5-hydroxytryptamine receptor 6(HTR6)
HTR7	ENSG00000148680	5-hydroxytryptamine receptor 7(HTR7)
IBTK	ENSG00000005700	inhibitor of Bruton tyrosine kinase(IBTK)
ICA1	ENSG00000003147	islet cell autoantigen 1(ICA1)
ICOS	ENSG00000163600	inducible T cell costimulator(ICOS)
ID1	ENSG00000125968	inhibitor of DNA binding 1(ID1)
ID2	ENSG00000115738	inhibitor of DNA binding 2(ID2)
ID3	ENSG00000117318	inhibitor of DNA binding 3(ID3)
ID4	ENSG00000172201	inhibitor of DNA binding 4(ID4)
IDH1	ENSG00000138413	isocitrate dehydrogenase (NADP(+)) 1(IDH1)
IDI2	ENSG00000148377	isopentenyl-diphosphate delta isomerase 2(IDI2)
IDS	ENSG00000010404	iduronate 2-sulfatase(IDS)
IFIT1B	ENSG00000204010	interferon induced protein with tetratricopeptide repeats 1B(IFIT1B)
IFIT2	ENSG00000119922	interferon induced protein with tetratricopeptide repeats 2(IFIT2)
IFNG	ENSG00000111537	interferon gamma(IFNG)
IGBP1P5	ENSG00000250858	immunoglobulin (CD79A) binding protein 1 pseudogene 5(IGBP1P5)
IGF2R	ENSG00000197081	insulin like growth factor 2 receptor(IGF2R)
IGHD	ENSG00000211898	immunoglobulin heavy constant delta(IGHD)
IGLL1	ENSG00000128322	immunoglobulin lambda like polypeptide 1(IGLL1)
IKBIP	ENSG00000166130	IKBKB interacting protein(IKBIP)
IL1B	ENSG00000125538	interleukin 1 beta(IL1B)
IL1R2	ENSG00000115590	interleukin 1 receptor type 2(IL1R2)
IL1RAP	ENSG00000196083	interleukin 1 receptor accessory protein(IL1RAP)
IL1RAPL1	ENSG00000169306	interleukin 1 receptor accessory protein like 1(IL1RAPL1)
IL1RL2	ENSG00000115598	interleukin 1 receptor like 2(IL1RL2)
IL1RN	ENSG00000136689	interleukin 1 receptor antagonist(IL1RN)
IL6	ENSG00000136244	interleukin 6(IL6)
IL13RA1	ENSG00000131724	interleukin 13 receptor subunit alpha 1(IL13RA1)
IL20RB	ENSG00000174564	interleukin 20 receptor subunit beta(IL20RB)
IL23A	ENSG00000110944	interleukin 23 subunit alpha(IL23A)
IL31RA	ENSG00000164509	interleukin 31 receptor A(IL31RA)
ILF3	ENSG00000129351	interleukin enhancer binding factor 3(ILF3)
IMPDH1	ENSG00000106348	inosine monophosphate dehydrogenase 1(IMPDH1)
IMPDH2	ENSG00000178035	inosine monophosphate dehydrogenase 2(IMPDH2)
INHBB	ENSG00000163083	inhibin subunit beta B(INHBB)
INPP4B	ENSG00000109452	inositol polyphosphate-4-phosphatase type II B(INPP4B)
INPP5E	ENSG00000148384	inositol polyphosphate-5-phosphatase E(INPP5E)
INSM1	ENSG00000173404	INSM transcriptional repressor 1(INSM1)
INSR	ENSG00000171105	insulin receptor(INSR)
IP6K2	ENSG00000068745	inositol hexakisphosphate kinase 2(IP6K2)
IP6K3	ENSG00000161896	inositol hexakisphosphate kinase 3(IP6K3)
IPCEF1	ENSG00000074706	interaction protein for cytohesin exchange factors 1(IPCEF1)
IPMK	ENSG00000151151	inositol polyphosphate multikinase(IPMK)
IQCA1	ENSG00000132321	IQ motif containing with AAA domain 1(IQCA1)
IQCB1	ENSG00000173226	IQ motif containing B1(IQCB1)
IQCK	ENSG00000174628	IQ motif containing K(IQCK)
IRAK3	ENSG00000090376	interleukin 1 receptor associated kinase 3(IRAK3)
IRF1	ENSG00000125347	interferon regulatory factor 1(IRF1)
IRF2	ENSG00000168310	interferon regulatory factor 2(IRF2)
IRF7	ENSG00000185507	interferon regulatory factor 7(IRF7)
IRS2	ENSG00000185950	insulin receptor substrate 2(IRS2)
ISM1	ENSG00000101230	isthmin 1(ISM1)
ITCH	ENSG00000078747	itchy E3 ubiquitin protein ligase(ITCH)
ITGA5	ENSG00000161638	integrin subunit alpha 5(ITGA5)
ITGA6	ENSG00000091409	integrin subunit alpha 6(ITGA6)
ITGAX	ENSG00000140678	integrin subunit alpha X(ITGAX)
ITK	ENSG00000113263	IL2 inducible T cell kinase(ITK)
ITPK1	ENSG00000100605	inositol-tetrakisphosphate 1-kinase(ITPK1)
ITPKB	ENSG00000143772	inositol-trisphosphate 3-kinase B(ITPKB)
JAK1	ENSG00000162434	Janus kinase 1(JAK1)
JHY	ENSG00000109944	junctional cadherin complex regulator(JHY)
JUN	ENSG00000177606	Jun proto-oncogene, AP-1 transcription factor subunit(JUN)
JUNB	ENSG00000171223	JunB proto-oncogene, AP-1 transcription factor subunit(JUNB)
JUND	ENSG00000130522	JunD proto-oncogene, AP-1 transcription factor subunit(JUND)
KANK1	ENSG00000107104	KN motif and ankyrin repeat domains 1(KANK1)
KANSL1	ENSG00000120071	KAT8 regulatory NSL complex subunit 1(KANSL1)
KAT6A	ENSG00000083168	lysine acetyltransferase 6A(KAT6A)
KAZN	ENSG00000189337	kazrin, periplakin interacting protein(KAZN)
KBTBD2	ENSG00000170852	kelch repeat and BTB domain containing 2(KBTBD2)
KCNA2	ENSG00000177301	potassium voltage-gated channel subfamily A member 2(KCNA2)
KCNB2	ENSG00000182674	potassium voltage-gated channel subfamily B member 2(KCNB2)
KCND2	ENSG00000184408	potassium voltage-gated channel subfamily D member 2(KCND2)
KCNE3	ENSG00000175538	potassium voltage-gated channel subfamily E regulatory subunit 3(KCNE3)
KCNE4	ENSG00000152049	potassium voltage-gated channel subfamily E regulatory subunit 4(KCNE4)
KCNF1	ENSG00000162975	potassium voltage-gated channel modifier subfamily F member 1(KCNF1)
KCNG1	ENSG00000026559	potassium voltage-gated channel modifier subfamily G member 1(KCNG1)
KCNH2	ENSG00000055118	potassium voltage-gated channel subfamily H member 2(KCNH2)
KCNH5	ENSG00000140015	potassium voltage-gated channel subfamily H member 5(KCNH5)
KCNH6	ENSG00000173826	potassium voltage-gated channel subfamily H member 6(KCNH6)
KCNH7	ENSG00000184611	potassium voltage-gated channel subfamily H member 7(KCNH7)
KCNH8	ENSG00000183960	potassium voltage-gated channel subfamily H member 8(KCNH8)
KCNIP4	ENSG00000185774	potassium voltage-gated channel interacting protein 4(KCNIP4)
KCNJ1	ENSG00000151704	potassium inwardly rectifying channel subfamily J member 1(KCNJ1)
KCNJ4	ENSG00000168135	potassium inwardly rectifying channel subfamily J member 4(KCNJ4)
KCNJ12	ENSG00000184185	potassium inwardly rectifying channel subfamily J member 12(KCNJ12)
KCNK2	ENSG00000082482	potassium two pore domain channel subfamily K member 2(KCNK2)
KCNK3	ENSG00000171303	potassium two pore domain channel subfamily K member 3(KCNK3)
KCNMA1	ENSG00000156113	potassium calcium-activated channel subfamily M alpha 1(KCNMA1)
KCNMB4	ENSG00000135643	potassium calcium-activated channel subfamily M regulatory beta subunit 4(KCNMB4)
KCNN2	ENSG00000080709	potassium calcium-activated channel subfamily N member 2(KCNN2)
KCNN3	ENSG00000143603	potassium calcium-activated channel subfamily N member 3(KCNN3)
KCNQ1	ENSG00000053918	potassium voltage-gated channel subfamily Q member 1(KCNQ1)
KCNT2	ENSG00000162687	potassium sodium-activated channel subfamily T member 2(KCNT2)
KDELR3	ENSG00000100196	KDEL endoplasmic reticulum protein retention receptor 3(KDELR3)
KDM2A	ENSG00000173120	lysine demethylase 2A(KDM2A)
KDM3B	ENSG00000120733	lysine demethylase 3B(KDM3B)
KDM4C	ENSG00000107077	lysine demethylase 4C(KDM4C)
KDM5A	ENSG00000073614	lysine demethylase 5A(KDM5A)
KDM8	ENSG00000155666	lysine demethylase 8(KDM8)
KDSR	ENSG00000119537	3-ketodihydrosphingosine reductase(KDSR)
KHDRBS2	ENSG00000112232	KH RNA binding domain containing, signal transduction associated 2(KHDRBS2)
KIAA0319L	ENSG00000142687	KIAA0319 like(KIAA0319L)
KIAA0586	ENSG00000100578	KIAA0586(KIAA0586)
KIF1B	ENSG00000054523	kinesin family member 1B(KIF1B)
KIF3A	ENSG00000131437	kinesin family member 3A(KIF3A)
KIF3C	ENSG00000084731	kinesin family member 3C(KIF3C)
KIF11	ENSG00000138160	kinesin family member 11(KIF11)
KIF16B	ENSG00000089177	kinesin family member 16B(KIF16B)
KIF18B	ENSG00000186185	kinesin family member 18B(KIF18B)
KIF21A	ENSG00000139116	kinesin family member 21A(KIF21A)
KIR2DL2	ENSG00000273578	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2(KIR2DL2)
KIR2DL2	ENSG00000273661	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2(KIR2DL2)
KIR2DL2	ENSG00000274412	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2(KIR2DL2)
KIR2DL2	ENSG00000275407	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2(KIR2DL2)
KIR2DL2	ENSG00000275546	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2(KIR2DL2)
KIR2DL2	ENSG00000275914	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2(KIR2DL2)
KIR2DL2	ENSG00000275960	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2(KIR2DL2)
KIR2DL2	ENSG00000276011	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2(KIR2DL2)
KIR2DL2	ENSG00000276731	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2(KIR2DL2)
KIR2DL2	ENSG00000277251	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2(KIR2DL2)
KIR2DL2	ENSG00000277725	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2(KIR2DL2)
KIR2DL2	ENSG00000278692	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2(KIR2DL2)
KIR2DL2	ENSG00000278731	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2(KIR2DL2)
KIR2DL4	ENSG00000189013	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000273498	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000273575	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000274189	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000274193	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000274232	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000274609	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000274945	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000274955	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000275237	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000275317	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000275456	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000275699	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000275732	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000275848	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000276044	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000276779	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000276979	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000277076	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000277355	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000277362	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000277540	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000277750	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000277850	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000277964	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000278074	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000278201	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000278271	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000278430	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000278606	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000283784	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000283869	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000283902	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000283961	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000283986	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000284013	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000284206	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000284340	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000284365	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000284457	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000284460	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000284509	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL4	ENSG00000284562	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
KIR2DL5A	ENSG00000274143	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A(KIR2DL5A)
KIR2DL5A	ENSG00000274676	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A(KIR2DL5A)
KIR2DL5A	ENSG00000275596	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A(KIR2DL5A)
KIR2DS1	ENSG00000273517	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1(KIR2DS1)
KIR2DS1	ENSG00000273603	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1(KIR2DS1)
KIR2DS1	ENSG00000275306	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1(KIR2DS1)
KIR2DS1	ENSG00000275421	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1(KIR2DS1)
KIR2DS1	ENSG00000275921	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1(KIR2DS1)
KIR2DS1	ENSG00000276327	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1(KIR2DS1)
KIR2DS1	ENSG00000276387	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1(KIR2DS1)
KIR2DS1	ENSG00000278120	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1(KIR2DS1)
KIR2DS1	ENSG00000278304	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1(KIR2DS1)
KIR2DS1	ENSG00000283937	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1(KIR2DS1)
KIR2DS1	ENSG00000284120	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1(KIR2DS1)
KIR2DS1	ENSG00000284150	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1(KIR2DS1)
KIR2DS1	ENSG00000284560	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1(KIR2DS1)
KIR2DS2	ENSG00000274438	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2(KIR2DS2)
KIR2DS2	ENSG00000274518	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2(KIR2DS2)
KIR2DS2	ENSG00000275253	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2(KIR2DS2)
KIR2DS2	ENSG00000275452	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2(KIR2DS2)
KIR2DS2	ENSG00000275583	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2(KIR2DS2)
KIR2DS2	ENSG00000275735	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2(KIR2DS2)
KIR2DS2	ENSG00000275737	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2(KIR2DS2)
KIR2DS2	ENSG00000276139	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2(KIR2DS2)
KIR2DS2	ENSG00000276258	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2(KIR2DS2)
KIR2DS2	ENSG00000276425	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2(KIR2DS2)
KIR2DS2	ENSG00000277885	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2(KIR2DS2)
KIR2DS2	ENSG00000278152	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2(KIR2DS2)
KIR2DS2	ENSG00000278300	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2(KIR2DS2)
KIR2DS2	ENSG00000284033	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2(KIR2DS2)
KIR2DS2	ENSG00000284511	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2(KIR2DS2)
KIR2DS4	ENSG00000221957	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4(KIR2DS4)
KIR2DS4	ENSG00000273526	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4(KIR2DS4)
KIR2DS4	ENSG00000274406	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4(KIR2DS4)
KIR2DS4	ENSG00000274533	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4(KIR2DS4)
KIR2DS4	ENSG00000274921	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4(KIR2DS4)
KIR2DS4	ENSG00000274947	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4(KIR2DS4)
KIR2DS4	ENSG00000274957	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4(KIR2DS4)
KIR2DS4	ENSG00000275353	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4(KIR2DS4)
KIR2DS4	ENSG00000275731	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4(KIR2DS4)
KIR2DS4	ENSG00000276154	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4(KIR2DS4)
KIR2DS4	ENSG00000276395	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4(KIR2DS4)
KIR2DS4	ENSG00000276634	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4(KIR2DS4)
KIR2DS4	ENSG00000276885	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4(KIR2DS4)
KIR2DS4	ENSG00000283870	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4(KIR2DS4)
KIR2DS4	ENSG00000283882	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4(KIR2DS4)
KIR2DS4	ENSG00000284244	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4(KIR2DS4)
KIR2DS4	ENSG00000284264	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4(KIR2DS4)
KIR3DL2	ENSG00000240403	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000273735	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000273911	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000274722	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000275083	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000275262	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000275416	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000275511	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000275566	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000275626	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000275629	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000275838	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000276004	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000276357	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000276424	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000276739	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000276882	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000277181	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000277709	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000277982	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000278361	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000278403	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
